player_name,at_bats,hits,walks,sacrifices,home_runs,game_date,average,record
"Acuña Jr., Ronald",4,0,0,0,0,2023-07-09,0.0,0/4
"Albies, Ozzie",4,1,0,0,0,2023-07-09,0.25,1/4
"Harris II, Michael",3,1,0,0,0,2023-07-09,0.333,1/3
"Kelenic, Jarred",4,1,0,0,0,2023-07-09,0.25,1/4
"Olson, Matt",4,1,0,0,0,2023-07-09,0.25,1/4
"Ozuna, Marcell",4,1,0,0,0,2023-07-09,0.25,1/4
"Riley, Austin",4,3,0,0,0,2023-07-09,0.75,3/4
"Acuña Jr., Ronald",5,3,0,0,2,2023-07-15,0.6,3/5
"Albies, Ozzie",4,2,1,0,0,2023-07-15,0.5,2/4
"Harris II, Michael",3,0,1,0,0,2023-07-15,0.0,0/3
"Kelenic, Jarred",3,1,1,0,0,2023-07-15,0.333,1/3
"Murphy, Sean",5,0,0,0,0,2023-07-15,0.0,0/5
"Olson, Matt",4,3,0,0,0,2023-07-15,0.75,3/4
"Ozuna, Marcell",2,1,2,0,0,2023-07-15,0.5,1/2
"Riley, Austin",5,1,0,0,0,2023-07-15,0.2,1/5
